ano,nome_musica,artista,letra
1976,"Nem Ouro, Nem Prata",Ruy Maurity,"Eu vi chover, eu vi relampear
Mas mesmo assim o céu estava azul
Samborê pemba, folha de jurema
Oxóssi reina de norte a sul
Eu vi chover, eu vi relampear
Mas mesmo assim o céu estava azul
Samborê pemba, folha de jurema
Oxóssi reina de norte a sul
Sou brasileira faceira
Mestiça, mulata
Não tem ouro, nem prata
O samba que sangra do meu coração
Tua menina de cor
Pedaço de bom carinho
Entrei no teu passo, malandra
Eu não sou como a tal Conceição
Chega de tanto exaltar essa tal de saudade
Meu caboclo moreno, mulato
Amuleto do nosso Brasil
Olha, meu preto bonito
Te quero, prometo, te gosto
Pra sempre do samba-canção
Ao primeiro apito do ano 2000
Olha, meu preto bonito
Te quero, prometo, te gosto
Pra sempre do samba-canção
Ao primeiro apito do ano 2000
Eu vi chover, eu vi relampear
Mas mesmo assim o céu estava azul
Samborê pemba, folha de jurema
Oxóssi reina de norte a sul
Eu vi chover, eu vi relampear
Mas mesmo assim o céu estava azul
Samborê pemba, folha de jurema
Oxóssi reina de norte a sul
Sou brasileira faceira
Mestiça, mulata
Não tem ouro, nem prata
O samba que sangra do meu coração
Tua menina de cor
Pedaço de bom carinho
Entrei no teu passo, malandra
Eu não sou como a tal Conceição
Chega de tanto exaltar essa tal de saudade
Meu caboclo moreno, mulato
Amuleto do nosso Brasil
Olha, meu preto bonito
Te quero, prometo, te gosto
Pra sempre do samba-canção
Ao primeiro apito do ano 2000
Olha, meu preto bonito
Te quero, prometo, te gosto
Pra sempre do samba-canção
Ao primeiro apito do ano 2000"
1980,"Bola de Meia, Bola de Gude",Milton Nascimento,"Há um menino, há um moleque
Morando sempre no meu coração
Toda vez que o adulto balança
Ele vem pra me dar a mão
Há um passado no meu presente
Um Sol bem quente lá no meu quintal
Toda vez que a bruxa me assombra
O menino me dá a mão
E me fala de coisas bonitas
Que eu acredito que não deixarão de existir
Amizade, palavra, respeito
Caráter, bondade, alegria e amor
Pois não posso, não devo, não quero
Viver como toda essa gente insiste em viver
E não posso aceitar sossegado
Qualquer sacanagem ser coisa normal
Bola de meia, bola de gude
O solidário não quer solidão
Toda vez que a tristeza me alcança
O menino me dá a mão
Há um menino, há um moleque
Morando sempre no meu coração
Toda vez que o adulto fraqueja
Ele vem pra me dar a mão"
1993,Have I Told You Lately,Rod Stewart,"Have I told you lately that I love you?
Have I told you there's no one else above you?
You fill my heart with gladness, take away all my sadness
Ease my troubles, that's what you do
For the mornin' Sun and all its glory
Greets the day with hope and comfort, too
You fill my life with laughter, somehow you make it better
Ease my troubles, that's what you do
There's a love that's divine, and it's yours and it's mine
Like the Sun
And at the end of the day, we should give thanks and pray
To the one, to the one
Have I told you lately that I love you?
Have I told you there's no one else above you?
You fill my heart with gladness, take away all my sadness
Ease my troubles, that's what you do
There's a love that's divine, and it's yours and it's mine
Like the Sun
And at the end of the day, we should give thanks and pray
To the one, to the one
And have I told you lately that I love you?
Have I told you there's no one else above you?
You fill my heart with gladness, take away all my sadness
Ease my troubles, that's what you do
Take away all my sadness, you fill my heart with gladness
Ease my troubles, that's what you do
Take away all my sadness, you fill my heart with gladness
Ease my troubles, that's what you do"
1970,Little Woman,McFly,"She was a quiet little woman
But no one really gave her a chance
But she kept a little secret
She really had a passion to dance
She was out on the town
When the DJ started playing the blues
Well there was no stopping her now
She's put on her dancing shoes
She was twisting baby
Come on
Don't wanna miss this lady
Come on
Gotta get a glance
Gotta watch her dance
Come on"
2004,Samba Makossa,Charlie Brown Jr.,"Minha família, quer tudo como quem não quer nada
Mas toma uma de assalto quando chega na parada
Samba maioral
Onde é que você se meteu
Antes de chegar na roda, meu irmão?
Eu disse samba maioral
Onde é que você se meteu
Antes de chegar na roda, sangue bom?
A responsabilidade de tocar o seu pandeiro
É a responsabilidade de você manter-se inteiro
É de você manter-se inteiro, inteiro
Por isso chegou a hora
Dessa roda começar
Samba Makossa da pesada
Vamos todos celebrar
Cerebral
É assim que tem que ser
Maioral
Porque é assim que é
Mão da cabeça e o skate no pé
Samba Makossa tem hora marcada
É da quebrada, é da quebrada
Samba maioral
Onde é que você se meteu
Antes de chegar na roda, sangue bom?
A responsabilidade de tocar o seu pandeiro
É a responsabilidade de você manter-se inteiro
É, é de você manter-se inteiro
Por isso chegou a hora
Dessa roda começar
Samba Makossa da pesada
Vamos todos celebrar
Cerebral
É assim que tem que ser
Maioral
Porque é assim que é
Mão da cabeça e skate no pé
Samba Makossa tem hora marcada
É da pesada, é da pesada
É da pesada, é da pesada
No sapatinho
Modernizar o passado
É uma revolução musical
Cadê as notas que estavam aqui?
Não preciso delas
Basta que soe bem aos ouvidos
Viva Zapata! Viva Sandino! Viva Zumbi!
Antônio Conselheiro (Sabotage)
Todos os Panteras Negras
Lampião, sua imagem semelhança
Eu tenho certeza, assim como Sabotage
Chico Science, eles também cantaram um dia
Samba, samba, samba, samba, samba
Samba, samba, samba, samba, samba, samba, samba
Samba, samba, samba, samba, samba
Samba, samba, sambou
Eu disse samba, samba, samba, samba, samba
Samba, samba, samba, samba, samba
Samba, samba
Maioral
É assim que tem que ser
Maioral
Porque é assim que é
Mão na cabeça e skate no pé
Samba Makossa tem hora marcada
É da pesada
É da quebrada, é da quebrada"
1971,Ovo de Codorna,Luiz Gonzaga,"Eu quero um ovo de codorna pra comer
O meu problema ele tem que resolver
Eu quero um ovo de codorna pra comer
O meu problema ele tem que resolver
Eu tô madurão passei da flor da idade
Mas ainda tenho alguma mocidade
Vou cuidar de mim pra não acontecer
Vou comprar ovo de codorna pra comer
Eu quero um ovo de codorna pra comer
O meu problema ele tem que resolver
Eu quero um ovo de codorna pra comer
O meu problema ele tem que resolver
Eu já procurei um doutor meu amigo
Ele me falou pode contar comigo
Ele me ensinou e eu passo pra você
Vou lhe dar ovo de codorna pra comer
Eu quero um ovo de codorna pra comer
O meu problema ele tem que resolver
Eu quero um ovo de codorna pra comer
O meu problema ele tem que resolver
Eu andava triste quase apavorado
Estavam me fazendo de um pobre coitado
Minha companheira tá feliz porque, hum
Eu comprei ovo de codorna pra comer
Eu quero um ovo de codorna pra comer
O meu problema ele tem que resolver
Eu quero um ovo de codorna pra comer
O meu problema ele tem que resolver
Eu tô madurão passei da flor da idade
Mas ainda tenho alguma mocidade
Vou cuidar de mim pra não acontecer
Vou comprar ovo de codorna pra comer
Eu quero um ovo de codorna pra comer
O meu problema ele tem que resolver
Eu quero um ovo de codorna pra comer
O meu problema ele tem que resolver"
1978,Bandeira do Divino,Ivan Lins,"Os devotos do Divino
Vão abrir sua morada
Pra bandeira do Menino
Ser bem-vinda, ser louvada, ai, ai
Os devotos do divino
Vão abrir sua morada
Pra bandeira do Menino
Ser bem-vinda, ser louvada, ai, ai
Deus vos salve esse devoto
Pela esmola em vosso nome
Dando água a quem tem sede
Dando pão a quem tem fome, ai, ai
Deus vos salve esse devoto
Pela esmola em vosso nome
Dando água a quem tem sede
Dando pão a quem tem fome, ai, ai
A bandeira acredita
Que a semente seja tanta
Que essa mesa seja farta
Que essa casa seja santa, ai, ai
A bandeira acredita
Que a semente seja tanta
Que essa mesa seja farta
Que essa casa seja santa, ai, ai
Que o perdão seja sagrado
Que a fé seja infinita
Que o homem seja livre
Que a justiça sobreviva, ai, ai
Que o perdão seja sagrado
Que a fé seja infinita
Que o homem seja livre
Que a justiça sobreviva, ai, ai
Assim como os três reis magos
Que seguiram a estrela-guia
A bandeira segue em frente
Atrás de melhores dias, ai, ai
Assim como os três reis magos
Que seguiram a estrela-guia
A bandeira segue em frente
Atrás de melhores dias, ai, ai
No estandarte vai escrito
Que Ele voltará de novo
E o Rei será bendito
Ele nascerá do povo, ai, ai
No estandarte vai escrito
Que Ele voltará de novo
E o Rei será bendito
Ele nascerá do povo, ai, ai"
1976,O Surdo,Alcione,"Amigo, que ironia desta vida
Você chora na avenida
Pro meu povo se alegrar
Eu bato forte em você
E aqui dentro do peito uma dor
Me destrói
Mas você me entende
E diz que pancada de amor não dói
Eu bato forte em você
E aqui dentro do peito uma dor
Me destrói
Mas você me entende
E diz que pancada de amor não dói
Meu surdo, parece absurdo
Mas você me escuta
Bem mais que os amigos lá do bar
Não deixa que a dor
Mais lhe machuque
Pois pelo seu batuque
Eu dou fim ao meu pranto e começo a cantar
Meu surdo, bato forte no seu couro
Só escuto este teu choro
Que os aplausos vêm pra consolar
Amigo, que ironia desta vida
Você chora na avenida
Pro meu povo se alegrar
Eu bato forte em você
E aqui dentro do peito uma dor
Me destrói
Mas você me entende
E diz que pancada de amor não dói
Eu bato forte em você
E aqui dentro do peito uma dor
Me destrói
Mas você me entende
E diz que pancada de amor não dói
Meu surdo, velho amigo e companheiro
Da avenida e de terreiro
De rodas de samba e de solidão
Não deixe que eu vencido de cansaço
Me descuide desse abraço
E desfaça o compasso do passo do meu coração
Mas você me entende
E diz que pancada de amor não dói
Mas você me entende
E diz que pancada de amor não dói
Mas você me entende
E diz que pancada de amor não dói"
1958,Cabecinha No Ombro (part. Roberta Miranda),Fagner,"Encosta a tua cabecinha no meu ombro e chora
E conta logo a tua mágoa toda para mim
Quem chora no meu ombro eu juro que não vai embora,
Que não vai embora
Que não vai embora
Encosta a tua cabecinha no meu ombro e chora
E conta logo a tua mágoa toda para mim
Quem chora no meu ombro eu juro que não vai embora,
Que não vai embora
Porque gosta de mim
Amor, eu quero o teu carinho, porque eu vivo tão sozinho
Não sei se a saudade fica ou se ela vai embora,
Se ela vai embora,se ela vai embora
Não sei se a saudade fica ou se ela vai embora,
Se ela vai embora,porque gosta de mim"
1991,Everybody Everybody,Black Box,"You won't belong to me, I let you down
I walk around'n' see your night skyline
I feel the light but you don't want to stay
So lonely now, just let me off downtown
Sad and free
When I said it was over you aimed at my heart
Won't be long for I'm leavin' all my love
But I'll feel it forever, no sound's in my life
You can call that no livin', on my own so free
Everybody, everybody
Everybody, everybody
Everybody, everybody
You took me easy and then let me go
I never was, you see, that cheatin' kind
You feel all right, you never looker for me
So, it's time, I've gotta get on by"
